"headlines.headline","sentiment","anger","fear","joy","sadness","gptsentiment","gptanger","gptjoy","gptsadness","gptfear"
"Darwin Said It Was The Strongest Instinct That Humans Have. Guess What It's NOT: Survival",4.1,1.5,2.28571428571429,2,1.75,3,2,5,1,3
"John Oliver brutally mocks political ads for women, and it's hilarious.",3.1,2.375,1.625,3.875,1.5,6,1,6,1,1
"This Sports Commentator Just Unleashed A $#!% Storm On 9 People Involved In The Ray Rice Assault",3,4.125,1.875,2,2.25,2,6,2,4,6
"When You Turn Prison Into An Industry That Needs Bodies, Things Go … Screwy",2.5,3,2.625,1.875,3.375,2,4,3,2,4
"A Teacher Tells A Story About A Boy In Her Class. It Desperately Needs A Happy Ending.",2.7,2.5,1.875,2,3,6,1,6,6,2
"Being A Mother And Being A Lover Are Two Difficult Facets To Switch Between. One Woman Wrote A Poem.",4,2.5,1.375,2.125,2.25,4,1,4,2,1
"500 Young Folks Met Together To Get Riled Up. Now It's Your Turn.",4.5,2,1.57142857142857,2.5,1.75,6,2,6,1,2
"The Minimum Wage Was Worth The Most Right About The Time That John And Yoko Got Naked",3.5,1.75,1.75,2.25,1.625,3,1,3,1,1
"A Major Obstacle To Global Badassery, Explained (In 60 Seconds)",4.2,1.625,1.375,2.125,1.625,5,1,6,1,1
"A Teen Comes Out To His Mom But His Mom Actually Steals The Show",3.9,1.625,1.25,1.75,1.75,4,2,5,2,1
"Her Compulsion Might Sound Strange To You ... Or You Might Understand It Completely",3.6,1.5,1.375,1.25,1.5,4,1,4,1,2
"Meet A Nun Who Believes In The Need For Sex, Even Though She’s Not Gettin’ Any",4,2.375,1.375,2.375,1.75,3,3,4,1,2
"The best feature of his multi-million dollar home is nowhere near it.",3.9,1.75,1.125,2,1.375,2,2,5,5,2
"The Kind Of Online 'Friend' You Should Feel Super Happy About Deleting",3.6,2.25,1.125,2,1.5,2,4,6,1,2
"500 Young Folks Went To Turkey To Get Riled Up. Now It's Your Turn.",4,1.75,1.375,2.5,1.375,4,2,6,1,4
"Her Classmates Don't Know What Makes Her Different, But They Know How To Make It Hurt",2.7,3,2.75,1.125,3.75,2,6,1,6,6
"This Boy Committed A Crime When He Was A Teenager. But Is It Right To Imprison Him?",3.4,2.625,2.25,1.375,3.625,3,2,2,3,2
"Women Not Getting The Reproductive Healthcare They Need? How About No.",3.2,4.375,2.75,1.25,3.375,1,6,1,6,6
"Think People Judge You Based On How You Look? Wait Until You Hear What They Really Mean.",3.3,2.75,1.875,1.5,2.625,3,3,5,2,5
"Wonder If That War Photographer Who Films Close Up Ever Gets Hurt? Yep, And In More Ways Than One.",3.5,2.3,4.3,1.9,3.6,2,6,4,4,5
"Listen As A Smartypants 9-Year-Old Gives McDonalds’ CEO A Chicken Nugget Of Wisdom",4.3,3.1,1.3,3.1,1.4,6,1,6,1,1
"Your Idea Of Small Towns In The Deep South Is About To Be Blown Out Of The Water",4.1,1.9,2.4,2.4,1.7,5,2,5,1,3
"I Can't Believe What The Government Is Planning To Do To Your Grandma",2.9,4.3,4.7,1.3,3.6,2,6,4,5,6
"What Are The Odds Of Another Asteroid Hitting The Earth?",3.4,1.5,4.5,1.4,1.9,4,1,2,1,3
"Take Prisons, Turn Them Into Private Companies, Add Tons Of Cash, And Stir. Not A Pleasant Mix ... ",2.7,4.7,3.9,1.5,3.5,2,4,2,2,4
"We Are Good At Sweeping This Problem Under The Rug, But The Consequences Are Out Of Control",2.6,3.8,4.4,1.5,2.9,2,4,1,4,5
"This Professor Says We Spend 40% Of Our Lives Doing Something That Could Hurt Us For A Good Reason",3.5,2.3,3.4,2,2.8,5,1,4,2,2
"Education Might Be Hurting The Minds Of Children — These 10 Images Explain How",2.5,3.2,4.5,1.4,4,2,2,2,2,4
"Some LOL And A Whole Lot Of Truth About All Of Those Stupid Holiday Jokes",4.3,3.1,2.1,3,1.9,4,2,5,1,1
"We Don't Like Talking About Mental Health, But Here's How It's A Life And Death Matter",3.5,3.33333333333333,4.25,1.33333333333333,3.77777777777778,5,1,3,5,5
"If You've Ever Tried Being A Mother And A Lover In The Same Night, You Can Relate To Her",3.9,1.66666666666667,1.66666666666667,2.66666666666667,2,4,1,4,2,1
"There Really Is A War On This Sacred Holiday In America - And It's Time To Fight Back.",3.6,5.66666666666667,4.44444444444444,1.55555555555556,3,3,6,5,1,6
"Some Darn Good Reasons Why We Should Never Use The Words 'Male Rape'",3.2,5,3.11111111111111,1.44444444444444,3.22222222222222,4,2,4,1,3
"What If You Needed A Special Dictionary To Go Grocery Shopping? Sike! You Already Do.",3.7,2.33333333333333,1.55555555555556,3,1.88888888888889,4,2,6,1,2
"Mirror, Mirror, On The Wall, Stop Me If I Complain About This At All",3.1,3.22222222222222,2.88888888888889,2,2.55555555555556,4,2,5,1,1
"The One Where The Government Offers To Metaphorically Shank Your Grandma",2.6,4.77777777777778,3.66666666666667,1.44444444444444,2,1,6,1,4,6
"They've Been So Slow To Raise The Minimum Wage, They’ve Actually Been Lowering It",3,5.22222222222222,2.88888888888889,1.33333333333333,3.33333333333333,1,6,2,6,5
"Moby might be named after a sea animal, but he has a point about these land animals. They're dying,",2.8,3.77777777777778,3.88888888888889,1.625,4.88888888888889,5,1,4,4,2
"Here's How The Food Industry Is Punking Us. Trust Me, I'm Not Happy About It.",2.5,6.22222222222222,2.88888888888889,1.44444444444444,3.66666666666667,2,5,2,4,4
"The Feds Will Not Be Cutting Your Social Security. They'll Just Be Decreasing Your Benefits By 10%.",2.9,5.77777777777778,4,1.77777777777778,3.33333333333333,2,3,2,5,5
"A Shocking And Hilarious (Fake) Ad Reminds Us Why We Hate Dealing With Our Cable Company",3.3,2.66666666666667,1.66666666666667,3.44444444444444,1.88888888888889,4,2,5,1,1
"You Were Gonna Throw All That Stuff Out, But How 'Bout Turning It Into Something SoOoOo Much Better?",4.7,2.33333333333333,1.55555555555556,4.33333333333333,1.66666666666667,6,1,6,1,1
"This Small Town Mayor Shows Us That The Best Politicians Might Live Nowhere Near DC",4.4,1.66666666666667,1.55555555555556,2.88888888888889,1.55555555555556,6,1,6,1,1
"The Raw, Real Thoughts That Create Modern Human's Confusing Relationship With Their Bodies",3.9,1.77777777777778,3.11111111111111,1.66666666666667,2.22222222222222,5,1,3,2,2
"Hmmm … Prisons Run As For-Profit Operations? Seems Like Nothing Can Go Wrong. SMH.",2.4,5.55555555555556,2.88888888888889,1.55555555555556,4,2,4,2,4,5
"What Girls Learn From Us When We Look In The Mirror",3.6,2.55555555555556,2.55555555555556,1.66666666666667,2.22222222222222,5,1,5,1,1
"She Was Offering Her Breast To More Than One Pair Of Eager Lips. It Made Her Feel Some Things.",4,2,2.44444444444444,2.22222222222222,2.44444444444444,3,2,2,0,2
"I Know They Mean Well. But DAMN I Wish People Would Stop Saying Stuff Like This...",2.9,5.66666666666667,2,1.55555555555556,2.77777777777778,2,6,4,3,1
"Bee stings suck. A lot. But once I saw this, i'd be totally okay with much, much, more of them.",4.2,2.11111111111111,2.11111111111111,3.11111111111111,2.11111111111111,4,1,4,1,1
"Repeat After Me: 'I Am Not A Gross Sludge-monster. And If I Am, That's Okay, Too.'",4,2.22222222222222,1.77777777777778,3.88888888888889,3.11111111111111,5,2,6,1,2
"Two Infographics And A Fake Phone Call Show You Why Comcast Treats Its Customers Like Sh*t",2.4,6.11111111111111,2.33333333333333,1.77777777777778,2.44444444444444,1,6,2,2,4
"Ladies, Like Choice? Don't End Up In This Hospital.",2.7,4.44444444444444,3.77777777777778,1.33333333333333,2.11111111111111,2,4,2,2,5
"You're Not Allowed To Make Jokes About This Holiday Anymore. Thanks.",2.3,5.77777777777778,2.33333333333333,1.55555555555556,3.11111111111111,2,4,2,1,4
"A PSA About Cancer That'll Probably Make You Say 'I Could Go For A New Paula Abdul Album, Sure'",3.7,2.22222222222222,2.44444444444444,2.22222222222222,2.875,3,1,5,1,1
"A Potentially Fatal Problem Receives An Extreme Makeover",3.6,1.88888888888889,3.22222222222222,2.77777777777778,2,4,1,4,1,4
"5 People Who Say That Living A Sexless Life Is A Totally Cool Life, And They Actually Mean It",4.4,2,1.55555555555556,2.77777777777778,1.66666666666667,4,1,3,1,1
"Want People To Listen When You Speak? Pay Attention To This Guy.",4.4,1.77777777777778,1.55555555555556,2.44444444444444,1.55555555555556,6,1,6,1,1
"Watch An Incredible Spoken Word Poem About A Little Girl Facing More Borders Than Anyone Can Cross",4.8,1.33333333333333,1.77777777777778,4.33333333333333,3.11111111111111,6,1,6,2,2
"20 Truths Behind The Comments We All Make About Each Other's Bodies. I'm Gonna Try This.",3.6,2.22222222222222,2.44444444444444,1.77777777777778,2.375,5,1,5,1,2
"If You've Ever Experienced The Demands On Your Body This Woman Did, Her Words Will Feel Familiar",3.8,1.88888888888889,2.22222222222222,1.66666666666667,3.55555555555556,5,1,3,2,2
"""Corporate Inversion:"" How Some U.S. Companies Are Taking Advantage Of Our Tax System",2.7,4.22222222222222,3.44444444444444,1.33333333333333,2.22222222222222,4,2,2,1,2
"Enough Already With The Kwanzaa Jokes. Let Jessica Williams Explain (And Make You Laugh).",4,2.66666666666667,1.77777777777778,4,1.77777777777778,6,3,6,1,1
"If You Laugh, You Get It. If You're Offended, You're Part Of The Problem.",3.4,4.22222222222222,2.22222222222222,2.44444444444444,1.77777777777778,4,3,6,1,2
"This Sports Commentator Just Called Out 9 Cowardly People Involved In The Ray Rice Assault",3.7,5.11111111111111,2.66666666666667,2,1.66666666666667,2,5,4,2,4
"See The Status Updates That Changed The World",4.5,1.66666666666667,2.22222222222222,2.44444444444444,1.44444444444444,6,1,5,1,1
"If You Don’t Say Holy Crap At Least Once I’ve Failed",4.2,1.77777777777778,2.11111111111111,2.55555555555556,2.11111111111111,4,1,4,1,1
"There's A Weird Thing Happening With Cell Phones — They're Feeding People Now",3.1,1.77777777777778,2.66666666666667,1.77777777777778,2,4,1,5,1,2
"Imagine The 1 Job You Love Is Also Tearing You Up Inside. Meet A Woman Who Has That Job.",3.4,2.88888888888889,3.66666666666667,1.77777777777778,3.33333333333333,4,1,5,6,2
"How Much Would You Be Making If Wages Had Kept Pace With Executive Salaries Since 1990?",3.4,3.22222222222222,2.44444444444444,1.66666666666667,2.33333333333333,4,2,4,2,2
"A Cell Phone Company Has Figured Out How To Feed Hungry People With Hashtags",4.5,2.22222222222222,1.55555555555556,4.33333333333333,3,6,1,6,1,1
"If You Have Ever Called Your Cable Company And Broke Your Phone Out Of Rage, You'll Totally Get It",3.9,5.88888888888889,2.11111111111111,1.77777777777778,2.33333333333333,4,4,5,1,2
"It Seems To Me There Is No Larger Miscarriage Of Justice Than This Right Here",2.4,6.11111111111111,3.22222222222222,1.33333333333333,4.55555555555556,1,6,1,6,4
"At First Glance, They're An Odd Couple. But Listening To Them For Just 5 Seconds Changes That.",4.4,1.55555555555556,1.55555555555556,4.55555555555556,2.11111111111111,6,1,6,1,1
"Gun Violence Gets Blamed On Many Things, But Here's One Key Place To Pay Attention",4,4.22222222222222,4.66666666666667,1.11111111111111,3.55555555555556,4,1,3,1,2
"When She Meets With Her Guidance Counselor, A Devastating Reality Hits Her In The Face",3.1,3.66666666666667,4.22222222222222,1.55555555555556,5.22222222222222,2,2,2,6,6
"Bill Nye Describes Why You Shouldn't Bet Your Life Savings On Your Horoscope",3.5,2,3,2.22222222222222,2.11111111111111,3,1,2,1,2
"39% of the water in China's major rivers is not fit for human contact ... and other startling facts.",2.5,3.44444444444444,5,1,4.55555555555556,2,2,2,4,6
"They Thought $8 Would Shut Her Up. Because $8 Is SO Much Money?",2.375,5.33333333333333,2.55555555555556,1.22222222222222,3.11111111111111,2,6,5,1,2
"How Many Earth-Destroying Asteroids Are Headed Towards Us At This Exact Moment?",2.5,2.33333333333333,5.77777777777778,1.22222222222222,3.11111111111111,1,4,1,2,6
"What Do Breasts, Pink Slime, And Guantanamo Have In Common? McDonald's.",3.375,1.77777777777778,3,1.55555555555556,1.55555555555556,3,3,2,1,2
"How Much Would Minimum Wagers Be Making RIGHT NOW If Wages Kept Pace With Executive Salaries?",3.625,4,3,1.44444444444444,3.22222222222222,4,4,4,4,2
"For Every Food Pic You Post Online With #MealForaMeal, Someone In Need Gets A Meal. Cool.",6.125,2,1.44444444444444,5,1.88888888888889,7,1,6,1,1
"Science Explains Why Rich People Don't Care About You",3.125,4.77777777777778,2.66666666666667,1.33333333333333,3.88888888888889,2,4,2,2,4
"We're Told That All Humans Are Created Equal. Do You See That In These Photos?",2.75,4.66666666666667,3.88888888888889,1.22222222222222,4.33333333333333,4,4,4,1,3
"6 Shocking, 3 Interesting, And 1 Bizarre Fact About McDonald's",3.5,2.77777777777778,4.33333333333333,1.77777777777778,2.22222222222222,4,1,3,1,1
"This Massive Nerve In Your Body Flips Out When You See Others In Pain (Unless You're Rich)",3.75,4,2.88888888888889,1.44444444444444,2.88888888888889,2,4,3,3,4
"What Age Is Too Young To Try Children As Adults In America? This Boy Was Just A Teenager.",2.75,5.44444444444444,4,1.66666666666667,3.88888888888889,2,4,3,6,6
"A 9-Year-Old Asks McDonald’s CEO A Simple Question. She’s Not Lovin’ His Response.",3.625,3.22222222222222,2.33333333333333,1.66666666666667,3.22222222222222,2,4,4,4,4
"Some Good Logic About A Heavy Topic Regarding Sexual Assault Against Men. Let's Talk About It.",3.875,4.88888888888889,3.55555555555556,1.77777777777778,4.11111111111111,6,1,5,1,1
"Why That Stuff That Makes You Go 'Ewww' Is Also Known As 'Black Gold'",4.25,2,1.88888888888889,2.44444444444444,2.11111111111111,6,1,5,1,1
"One Cubic Yard Of 'Black Gold' Is Worth $562. What's That?",4.625,1.88888888888889,1.44444444444444,2.55555555555556,1.55555555555556,6,1,4,1,1
"He was alone when they swarmed around him. But unlike a biblical plague, we need plenty more of them.",4.375,2.66666666666667,3.66666666666667,1.88888888888889,3.55555555555556,6,2,5,1,1
"This Is One Of The Best Things I've Ever Found On The Internet. Period.",5.75,1.33333333333333,1.33333333333333,5.11111111111111,1.22222222222222,7,1,7,1,1
"Hotels Love To Keep Their Beds Full, Because It Means More Revenue. What About Private Prisons? ",3.125,4.33333333333333,3.22222222222222,1.77777777777778,3.33333333333333,3,2,2,2,2
"We've Found A Phrase That Really Captures The Essence Of How Terrible These Statements Are",3.5,4.22222222222222,2.66666666666667,1.77777777777778,3.33333333333333,2,1,2,1,3
"All Of Us Are Created Equal — But Are Some Of Us More Equal Than Others?",2.875,4.22222222222222,3.22222222222222,1.55555555555556,3.77777777777778,3,4,4,1,2
"10 Short Images On The Way That Education Could Be Hurting The Minds Of Children",2.375,4,4.33333333333333,1.88888888888889,4.22222222222222,2,2,2,2,4
"Bill Nye On Why Your Horoscope Actually Belongs To Someone Else",3.625,2.11111111111111,2.55555555555556,2.22222222222222,2.33333333333333,3,2,3,1,2
"This Sports Commentator Just Rained $#!% Down On 9 People Involved In The Ray Rice Assault",2.5,5.22222222222222,3.66666666666667,1.88888888888889,3.11111111111111,2,6,2,4,4
"Nothing Could Have Prepared Bill Nye For This Harrowing Astrological Question",3.875,2.33333333333333,1.88888888888889,2.22222222222222,1.55555555555556,2,1,3,2,5
"Do You Think That These Humans Were Created Equal After Seeing These Photos?",2.75,4,3.33333333333333,1.44444444444444,3.77777777777778,3,2,2,1,2
"""Corporate Inversion"" Is Tax-Speak For U.S. Companies Turning Their Backs On Us",2.875,4.55555555555556,3.44444444444444,1.44444444444444,3.22222222222222,3,4,2,4,4
"Two Infographics Show You Why His Fake Phone Call To Comcast Is Just Like Your Real Ones",3.375,2.66666666666667,2.77777777777778,1.55555555555556,2,4,1,4,1,1
"What Do Breasts, Pink Slime, And Guantanamo Have In Common? Yep, McDonald's.",3.375,3.22222222222222,2.55555555555556,2.55555555555556,2.88888888888889,3,2,2,1,2
"You Take A Picture Of Your Food And Tag It With #MealForaMeal. What Happens Next Is Less Hunger.",6,2,1.88888888888889,4.88888888888889,2.55555555555556,7,1,6,1,1
"For Some, It’s No Sex Before Marriage. For Them, It’s Just No Sex.",3.875,2.22222222222222,2,1.66666666666667,2,5,1,5,2,1
"Pssst, Hey Buddy — Wanna Buy A Prison? I’ll Help You Keep It Full Of People If You Cut Me In.",3.125,3.77777777777778,3.22222222222222,2.55555555555556,2.55555555555556,1,4,3,2,4
"Why We’ll Never Get Rid Of Food Stamps If We Stick With This System",2.875,4.66666666666667,2.88888888888889,1.55555555555556,3.44444444444444,2,3,2,2,4
"Are We Really All Created Equal?",3.75,3.77777777777778,3.55555555555556,1.77777777777778,3.77777777777778,4,1,3,1,2
"What's in a name? According to the food industry, not that much.",3.125,3,3.22222222222222,2.44444444444444,2.88888888888889,3,2,2,2,1
"The Feelings She Felt When Sharing Her Breasts With Two Different Loved Ones Resulted In This Poem",4.5,2.66666666666667,2.33333333333333,2.88888888888889,2.77777777777778,4,1,3,1,1
"Look Somewhere Else For Intolerance 'Cause You're Not Going To Find It In This Small Town",4.25,3.44444444444444,2.11111111111111,2.11111111111111,1.77777777777778,7,1,6,1,1
"10 Images And One Great Point About How Education Might Be Hurting The Minds Of Children",2.625,4,4,2.22222222222222,4.22222222222222,2,2,2,1,3
"Your Assumptions About Sugary Foods Are About To Be Blown Away",4.5,2.44444444444444,2.88888888888889,2.88888888888889,2.44444444444444,6,1,6,1,2
"See How Thousands Of Lives Could Be Saved With A Paradigm Shift",5.625,2,2,3.55555555555556,2.11111111111111,6,1,6,1,1
"It You To Be Only The So Called 'Nerds' Who Got Bullied, Now It's Happening To The Popular People",4,3.77777777777778,3,2.11111111111111,3.33333333333333,3,4,3,4,4
"There's 30,000 permanent guests living in this famous musician's yard, but he's happy they're there.",4.75,2,1.77777777777778,3.33333333333333,2.33333333333333,6,1,6,1,1
"A Teacher Tells A Story About A Boy In Her Class. It Has A Beginning, A Middle, And No End.",3.875,2.88888888888889,2.11111111111111,2.22222222222222,3.55555555555556,5,1,4,3,1
"The Reason You Hate Comcast Is Summed Up Quite Nicely By A Man Who's Feeding Ducks",4.125,2,2.11111111111111,3.44444444444444,2.22222222222222,3,2,4,1,2
"A Teacher Tells A Story About Her Students. It Desperately Needs A Happy Ending.",3.125,2.7,1.9,2.4,3.6,4,2,6,6,2
"Some People Date To Have Sex ... Some Just Want Hugs",3.75,2.2,1.5,1.8,3.1,3,1,4,2,1
"Some Darn Good Reasons We Should Talk About 'Male Rape'",4.125,3.7,3.1,1.4,3.5,6,1,4,1,1
"That One Weird Time When You Could Feed A Person With Your Cell Phone",4.375,1.9,2.3,2.2,2.5,4,1,4,1,1
"Women? Choice? Ha Ha Ha, Not In this Hospital.",1.625,5,2.9,1.1,4.6,1,6,1,7,6
"Bill Nye Points Out The Biggest Problem With Modern Astrology",3.75,2.2,2.1,1.5,1.8,3,2,2,1,1
"On A Scale Of 1 Month To 10 Months, How 'Fresh' Are Those Apples?",3.75,2.2,1.5,1.7,1.6,4,1,4,1,1
"A Hilarious Look At Why Those Kwanzaa Jokes Aren't So Hilarious",3.25,2.8,1.6,3,2.8,4,1,5,1,1
"Time To Open Up A Can Of 'I'm Not Racist But...'",2.625,3.4,3.1,1.6,3.5,2,5,2,2,3
"The Huge Reason So Many People Are Thinking Twice About Who They Accept As Friends",3.625,2.4,2.8,1.7,3.7,4,1,4,2,4
"You May Think The Minimum Wage Has Gone Up And Up And Up. The Truth Is Much More Interesting.",3.625,1.9,3.1,2.7,2.6,5,1,5,1,1
"We're Pretty Good At Ignoring These Problems, But By Putting Them Together Maybe We'll Pay Attention",4.25,2.5,3,2,3.1,4,1,2,1,1
"Everybody Does It Around The Holidays. Here's Why Everyone Should Stop.",3.25,3.8,2.6,1.3,2.7,2,2,2,2,4
"Why Both Parties Should Agree To Buy A Few More Telescopes",4.5,2,1.6,1.9,1.5,5,1,5,1,1
"A Light Bulb Moment On How Education Might Be Sadly Hurting The Minds Of Children",3,2.6,4.8,1.2,5.11111111111111,2,2,2,5,3
"Some Facts About Rape And How We Don't Talk About Enough",2.875,4.5,3.9,1.1,4.9,5,1,2,2,2
"Since When Does Being Popular Mean Having To Put Up With This Kinda Bullying",2.75,6,4,1.2,4.8,2,5,4,4,2
"You Can Produce One Of The Most Important Films Of Our Time",5.5,1.5,1.9,4.3,1.4,7,1,6,1,1
"Why You Need To Delete That 'Friend' Who Makes Comments Online They'd Never Say To Your Face",2.875,4,2.3,1.1,3.7,3,3,5,1,4
"A Slew Of Young Leaders Went To Turkey To Get Riled Up. Now It's Your Turn.",3.125,2.7,2,2.8,1.7,6,1,6,1,2
"These Guys Don’t Take Crap From Nobody. They Take It From EVERYBODY!",3.375,4.8,2.9,1.2,2.5,2,6,5,1,2
"What Do We Really Mean When They Talk About Women's Bodies? What These Women Really Say.",3.25,4,3.4,1.7,4.2,6,1,4,1,2
"A Small Town In Kentucky Has A Gay Hairdresser Mayor. True Story.",4.625,1.4,1.3,2.7,1.2,6,1,6,1,1
"How Many Asteroids Are Headed For Earth At This Exact Moment?",3.125,1.2,3.2,1.9,2.7,2,1,3,1,4
"They Way He Speaks. The Way She Looks At Him And Plays. Ugh... Does It Get Any Better Than This?",3.75,2,1.2,2.5,1.8,4,1,6,1,1
"The Obvious Answer For What To Do With All Your Gooey Leftovers",4.125,1.8,1.6,1.9,1.9,6,1,6,1,1
"The Music That People Heard Each Of The 22 Times The Minimum Wage Has Been Adjusted",4.125,2.5,1.9,2.2,2.5,4,1,4,1,1
"The Statistics On Sexual Violence Against Men Is High Enough That We Need To Talk More",3.125,4.2,3.7,1.1,4.7,6,1,3,2,2
"They Thought $8 Would Shut Her Up, But She’s Determined To Do Better For Her Kids",4.625,4.4,2.1,1.8,4,6,1,6,2,1
"Call Me Crazy, But I Think Trying To Patent Human Genes Is A Terrible Idea",3.25,3.5,2.9,1.1,2.5,2,2,5,1,2
"If You Don’t Say, 'Holy S***' Once Over The Next Three Minutes, I’ve Failed",3.5,2.8,2.1,1.9,1.4,4,1,4,1,4
"3 Of The Coolest Women In America Today Enter An Animated Fairytale World. It Ain't Pretty, Though.",3.625,2.2,1.9,1.5,2.9,4,1,5,2,2
"When Giant Companies Get Gianter You're Stuck With Real Phone Calls That Sound Just Like His Fake 1",3,3.2,2.4,1.5,2.2,2,4,1,1,3
"This Holiday Was Invented In 1965 But That Doesn't Mean It's Not Real. Okay?",3.625,4.7,1.9,1.9,2.6,4,1,4,1,1
"The Reason This Guy Is So Pissed Is The Same Reason Intelligent Conversation Is Hard To Find",3.25,4.1,2.2,1.5,2.6,2,5,2,2,2
"These 3 Ladies Appear In This Just-Released Cartoon Short. But It's Nothing You'd Expect.",3.875,1.9,1.8,2.2,1.9,5,1,6,1,2
"Does This Hospital Seem Familiar? Ladies, To You, It Probably Is.",3.5,2.7,3.2,1.5,3,3,2,4,1,2
"At First I Thought It Was Cute. Then I Was Like, ""Ok, This Is Weird"". Then, I Got It.",3.875,1.6,1.6,2.8,2.1,4,1,4,1,1
"Like. Totally. Whatever. If You Know Someone Who Uses These Words Show Them This Video.",3,2.6,1.5,2,1.66666666666667,3,2,5,1,2
"500 Remarkable Leaders Went To Turkey To Get Riled Up. Now It's Your Turn.",4,2.4,2.3,2.7,1.9,6,1,6,1,2
"Ever Felt Like Your Breasts Belonged To Everyone In Your Family But You? You Might Relate To This.",2.75,2.3,2.3,1.9,3,3,4,4,4,2
"Some People Think Composting Is Not An Exciting Topic. Some People Are Wrong.",4,3,2.1,1.6,2.6,6,2,6,1,1
"I'm Okay With People Bragging About Their Looks … As Long As THIS Is Their Reasoning",3,3.5,1.6,1.5,2.3,4,2,4,1,2
"The Story Starts When She's A Baby And Ends When She's 16. Every Step Is Just So Heartbreaking.",2.375,1.9,2.8,1.4,4.9,2,2,5,6,6
